Mês,Ciência de dados, Aprendizado de máquina
2010-01,1,7
2010-02,1,7
2010-03,1,7
2010-04,1,7
2010-05,1,9
2010-06,1,6
2010-07,1,6
2010-08,1,6
2010-09,1,7
2010-10,1,7
2010-11,1,8
2010-12,1,7
2011-01,1,7
2011-02,1,7
2011-03,1,8
2011-04,1,8
2011-05,1,7
2011-06,1,7
2011-07,1,7
2011-08,1,7
2011-09,1,8
2011-10,1,11
2011-11,1,10
2011-12,1,9
2012-01,1,8
2012-02,1,9
2012-03,1,9
2012-04,1,9
2012-05,1,9
2012-06,1,9
2012-07,1,8
2012-08,1,9
2012-09,1,10
2012-10,2,9
2012-11,2,9
2012-12,2,9
2013-01,2,9
2013-02,2,9
2013-03,3,10
2013-04,4,10
2013-05,4,10
2013-06,3,10
2013-07,4,10
2013-08,4,9
2013-09,3,10
2013-10,4,12
2013-11,4,11
2013-12,5,11
2014-01,5,11
2014-02,5,12
2014-03,5,12
2014-04,6,12
2014-05,6,11
2014-06,6,10
2014-07,7,12
2014-08,8,13
2014-09,8,13
2014-10,8,14
2014-11,8,14
2014-12,8,13
2015-01,9,14
2015-02,10,15
2015-03,10,16
2015-04,10,17
2015-05,11,16
2015-06,11,17
2015-07,12,17
2015-08,11,17
2015-09,12,19
2015-10,13,21
2015-11,12,23
2015-12,12,21
2016-01,14,21
2016-02,14,23
2016-03,14,26
2016-04,15,26
2016-05,17,26
2016-06,16,27
2016-07,16,26
2016-08,16,25
2016-09,19,30
2016-10,19,32
2016-11,21,36
2016-12,19,33
2017-01,24,37
2017-02,25,40
2017-03,27,44
2017-04,25,45
2017-05,28,46
2017-06,28,48
2017-07,29,45
2017-08,30,47
2017-09,31,51
2017-10,32,55
2017-11,33,57
2017-12,28,53
2018-01,36,54
2018-02,36,58
2018-03,37,63
2018-04,36,61
2018-05,38,59
2018-06,37,60
2018-07,39,59
2018-08,41,60
2018-09,42,64
2018-10,44,69
2018-11,44,67
2018-12,37,60
2019-01,46,64
2019-02,49,68
2019-03,48,69
2019-04,47,68
2019-05,50,71
2019-06,55,67
2019-07,56,69
2019-08,59,67
2019-09,60,73
2019-10,56,73
2019-11,57,78
2019-12,51,68
2020-01,58,72
2020-02,61,76
2020-03,51,66
2020-04,53,66
2020-05,56,70
2020-06,59,70
2020-07,61,70
2020-08,60,68
2020-09,59,72
2020-10,54,64
2020-11,47,59
2020-12,48,58
2021-01,52,55
2021-02,50,59
2021-03,52,61
2021-04,55,62
2021-05,56,67
2021-06,58,65
2021-07,54,61
2021-08,58,57
2021-09,60,62
2021-10,54,61
2021-11,59,67
2021-12,57,64
2022-01,77,79
2022-02,79,89
2022-03,83,96
2022-04,84,93
2022-05,80,95
2022-06,83,92
2022-07,83,85
2022-08,90,88
2022-09,86,98
2022-10,81,91
2022-11,79,100
2022-12,74,93
2023-01,81,95
2023-02,84,95
2023-03,85,98
