Mês,Ciência de dados,Aprendizado de máquina,Análise de dados
2010-01,0,5,8
2010-02,0,6,6
2010-03,0,6,9
2010-04,0,5,14
2010-05,0,5,14
2010-06,0,4,17
2010-07,0,0,9
2010-08,0,4,12
2010-09,0,6,15
2010-10,0,5,16
2010-11,0,5,19
2010-12,0,0,14
2011-01,0,3,7
2011-02,0,4,6
2011-03,0,6,10
2011-04,0,4,11
2011-05,0,6,15
2011-06,0,5,14
2011-07,0,5,8
2011-08,0,3,9
2011-09,0,5,10
2011-10,0,6,12
2011-11,0,6,15
2011-12,0,5,8
2012-01,0,3,5
2012-02,0,4,7
2012-03,0,5,8
2012-04,0,4,11
2012-05,0,4,11
2012-06,0,5,14
2012-07,0,5,8
2012-08,0,5,8
2012-09,0,6,9
2012-10,0,6,12
2012-11,0,5,14
2012-12,1,4,6
2013-01,0,4,6
2013-02,0,4,8
2013-03,0,5,9
2013-04,1,5,12
2013-05,1,6,11
2013-06,1,5,12
2013-07,0,5,9
2013-08,0,6,10
2013-09,1,5,10
2013-10,1,6,14
2013-11,1,6,15
2013-12,2,5,8
2014-01,1,4,6
2014-02,2,5,8
2014-03,1,5,11
2014-04,2,7,10
2014-05,1,7,15
2014-06,1,5,12
2014-07,2,6,10
2014-08,2,8,11
2014-09,2,7,11
2014-10,3,7,13
2014-11,2,8,17
2014-12,4,5,9
2015-01,3,5,6
2015-02,3,7,7
2015-03,3,8,11
2015-04,5,9,14
2015-05,2,8,14
2015-06,3,9,15
2015-07,3,7,9
2015-08,4,9,10
2015-09,3,10,12
2015-10,4,10,14
2015-11,4,10,19
2015-12,3,9,9
2016-01,3,8,9
2016-02,5,9,9
2016-03,5,11,15
2016-04,5,11,14
2016-05,6,12,18
2016-06,6,13,19
2016-07,6,12,11
2016-08,6,12,13
2016-09,7,13,13
2016-10,7,15,15
2016-11,6,15,25
2016-12,6,11,15
2017-01,7,12,13
2017-02,7,15,17
2017-03,7,17,22
2017-04,7,18,22
2017-05,9,19,28
2017-06,12,21,27
2017-07,11,19,15
2017-08,14,22,20
2017-09,14,21,22
2017-10,13,23,23
2017-11,16,23,27
2017-12,14,20,16
2018-01,17,19,13
2018-02,17,19,16
2018-03,20,26,19
2018-04,18,29,24
2018-05,21,35,25
2018-06,18,30,24
2018-07,20,24,17
2018-08,27,29,21
2018-09,24,27,23
2018-10,25,28,22
2018-11,30,28,22
2018-12,27,25,17
2019-01,31,24,15
2019-02,34,29,17
2019-03,33,30,18
2019-04,35,30,23
2019-05,38,34,25
2019-06,37,35,27
2019-07,41,30,22
2019-08,47,34,24
2019-09,45,36,26
2019-10,49,35,25
2019-11,46,32,24
2019-12,39,26,19
2020-01,51,27,17
2020-02,50,29,19
2020-03,46,32,20
2020-04,41,31,24
2020-05,42,30,27
2020-06,45,31,29
2020-07,47,32,23
2020-08,43,33,24
2020-09,44,34,29
2020-10,43,32,28
2020-11,41,29,29
2020-12,34,22,23
2021-01,36,20,18
2021-02,40,24,20
2021-03,44,28,29
2021-04,54,30,37
2021-05,54,29,37
2021-06,44,31,42
2021-07,49,28,30
2021-08,42,25,33
2021-09,41,29,41
2021-10,39,28,39
2021-11,42,29,40
2021-12,44,26,27
2022-01,66,35,30
2022-02,79,42,40
2022-03,72,51,46
2022-04,63,50,50
2022-05,65,52,52
2022-06,65,52,54
2022-07,68,41,41
2022-08,73,43,47
2022-09,57,42,51
2022-10,55,44,45
2022-11,60,52,52
2022-12,57,40,39
2023-01,66,41,39
2023-02,73,45,41
2023-03,73,52,56
2023-04,60,49,56
2023-05,63,58,64
2023-06,62,84,65
2023-07,63,51,64
2023-08,67,54,74
2023-09,60,51,82
2023-10,67,57,87
2023-11,64,54,86
2023-12,57,47,66
2024-01,80,43,57
2024-02,74,53,64
2024-03,72,59,78
2024-04,74,66,100
